Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1n,C1588
"C10, C11, C13, C14, C2, C21, C26, C28, C5, C6, C8",0603,11,100n,C14663
"C12, C7",0603,2,8p,C36508
C15,0603,1,10n,C57112
"C16, C18",0603,2,47p,C94904
"C17, C19, C20, C24, C27",0603,5,1u,C15849
C23,0603,1,1u/25V,C15849
C25,0603,1,100n/25V,C14663
"C3, C4",0603,2,30p,C1658
C9,0603,1,10u,C19702
D1,SOT-23,1,ESDCAN24-2BLY,C2937021
D2,D_SMB,1,SM6T36CAY DO-214AA,C133688
D3,D_SMC,1,"ES3D-E3/57T, 3A 200V",C68337
F1,0603,1,0603 CP06V5TR50 500mA 50V,C163136
FB1,0603,1, 120R BLM18PG121SN1D,C14709
J4,JST_GH_BM05B-GHS-TBT_1x05-1MP_P1.25mm_Vertical,1,BT,C189891
"Q1, Q2",SOT-23,2,2N7002,C8545
R1,0603,1,6K8,C23212
R10,0603,1,120,C22787
"R2, R3, R4, R6",0603,4,4K7,C23162
"R5, R7",0603,2,1K,C21190
R8,0603,1,10M,C7250
R9,0603,1,10K,C25804
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,C7950
U2,TSSOP-16_4.4x5mm_P0.65mm,1,MC74HC4060ADTR2G,C5310838
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,C53609
U4,QFN-36-1EP_6x6mm_P0.5mm_EP4.1x4.1mm,1,STM32F103T6U6A,C8363
U5,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,C86781
U6,TO-252-2,1,LM78M05_TO252,C58069
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz 9pF,C13738
