Designator,Mid X,Mid Y,Rotation,Layer
C1,190.6,-83.3,180.0,top
C10,177.7,-90.3125,0.0,top
C11,179.4125,-81.5625,90.0,top
C12,176.7,-88.1625,0.0,top
C13,188.0,-90.625,270.0,top
C14,185.6625,-80.4,180.0,top
C15,181.2,-90.775,270.0,top
C16,173.1,-97.0,0.0,bottom
C17,182.7,-90.775,270.0,top
C18,173.1,-91.6,180.0,bottom
C19,185.7,-90.775,90.0,top
C2,201.275,-80.705,270.0,top
C20,204.1,-101.0,270.0,top
C21,205.85,-101.0,270.0,top
C23,206.125,-92.7,0.0,top
C24,193.1,-100.75,270.0,top
C25,206.1,-94.4,0.0,top
C26,193.1,-97.375,90.0,top
C27,206.3,-88.6,0.0,top
C28,206.3,-87.0,0.0,top
C3,172.5,-77.2,270.0,top
C4,172.5,-73.2,90.0,top
C5,167.2,-82.7,90.0,top
C6,178.8,-95.8,0.0,bottom
C7,176.65,-81.5,180.0,top
C8,182.15,-101.65,0.0,bottom
C9,189.5,-90.625,270.0,top
D1,173.3,-94.3,0.0,bottom
D2,205.75,-72.5,0.0,top
D3,205.75,-80.0,90.0,top
F1,199.5,-71.0,180.0,top
FB1,184.2,-90.775,270.0,top
J1,188.4,-72.0,0.0,top
J3,169.125,-94.3,270.0,top
J4,183.9,-97.65,90.0,top
Q1,195.0,-76.8,270.0,top
Q2,188.0,-76.8,270.0,top
R1,191.1,-84.9,180.0,top
R10,167.4,-100.8,270.0,top
R2,190.6,-80.1,180.0,top
R3,190.6,-81.7,0.0,top
R4,190.8,-77.2,90.0,top
R5,192.4,-77.2,270.0,top
R6,199.75,-77.25,0.0,top
R7,184.3,-77.5,180.0,top
R8,174.4,-76.6,90.0,top
R9,182.5,-80.5625,0.0,top
TP1,184.1,-81.9,180.0,bottom
TP2,191.25,-75.25,270.0,bottom
TP3,199.25,-82.5,270.0,bottom
TP4,193.5,-75.25,270.0,bottom
TP5,190.2,-83.4,0.0,bottom
TP6,171.25,-82.25,0.0,bottom
TP7,185.5,-75.2,270.0,bottom
U1,196.6,-81.75,270.0,top
U2,171.125,-85.1375,0.0,top
U3,183.6,-96.8,0.0,bottom
U4,183.9125,-85.4,90.0,top
U5,198.5,-99.3,0.0,top
U6,197.96,-90.38,180.0,top
Y1,168.8,-75.1,90.0,top
Y2,176.65,-84.85,270.0,top
